id,Nombre,Biblioteca de figuras,ID de página,Contenido por,Origen de línea,Destino de la línea,Flecha de origen,Flecha de destino,Área de texto 1
1,Página,,,,,,,,Página 1
2,ImageSearchBlock2,Predeterminado,1,,,,,,
3,Flecha derecha,Figuras geométricas,1,,,,,,
4,Flecha derecha,Figuras geométricas,1,,,,,,
5,ImageSearchBlock2,Predeterminado,1,,,,,,
6,Nube,Azure,1,,,,,,
7,Imagen de usuario,Imágenes de usuario,1,,,,,,
8,Imagen de usuario,Imágenes de usuario,1,,,,,,
9,Imagen de usuario,Imágenes de usuario,1,,,,,,
10,Imagen de usuario,Imágenes de usuario,1,,,,,,
11,Flecha derecha,Figuras geométricas,1,,,,,,
12,Flecha derecha,Figuras geométricas,1,,,,,,
13,Flecha derecha,Figuras geométricas,1,,,,,,
14,Flecha derecha,Figuras geométricas,1,,,,,,
15,Imagen de usuario,Imágenes de usuario,1,,,,,,
16,ImageSearchBlock2,Predeterminado,1,,,,,,
17,ImageSearchBlock2,Predeterminado,1,,,,,,
18,Texto,Predeterminado,1,,,,,,SERVER
19,Texto,Predeterminado,1,,,,,,Raspberry Pi ® 
20,Flecha derecha,Figuras geométricas,1,,,,,,
21,Flecha derecha,Figuras geométricas,1,,,,,,
22,Imagen de usuario,Imágenes de usuario,1,,,,,,
23,Flecha derecha,Figuras geométricas,1,,,,,,
24,Flecha derecha,Figuras geométricas,1,,,,,,
25,Nube,Azure,1,,,,,,
26,Texto,Predeterminado,1,,,,,,CLOUD
27,Texto,Predeterminado,1,,,,,,CLOUD
28,Flecha derecha,Figuras geométricas,1,,,,,,
29,Flecha derecha,Figuras geométricas,1,,,,,,
30,ImageSearchBlock2,Predeterminado,1,,,,,,
31,Administración de API,Azure,1,,,,,,
32,Nota entre llaves,Figuras de diagramas de flujo,1,,,,,,
33,Texto,Predeterminado,1,,,,,,Restful Api Technologies
34,ImageSearchBlock2,Predeterminado,1,,,,,,
35,ImageSearchBlock2,Predeterminado,1,,,,,,
36,Texto,Predeterminado,1,,,,,,"PowerBank
"
37,Imagen de usuario,Imágenes de usuario,1,,,,,,
38,Imagen de usuario,Imágenes de usuario,1,,,,,,
39,Imagen de usuario,Imágenes de usuario,1,,,,,,
40,Flecha derecha,Figuras geométricas,1,,,,,,
41,Flecha derecha,Figuras geométricas,1,,,,,,
42,Texto,Predeterminado,1,,,,,, Bicycling  
43,ImageSearchBlock2,Predeterminado,1,,,,,,
44,ImageSearchBlock2,Predeterminado,1,,,,,,
45,Flecha derecha,Figuras geométricas,1,,,,,,
46,Flecha derecha,Figuras geométricas,1,,,,,,
47,Flecha derecha,Figuras geométricas,1,,,,,,
48,Flecha derecha,Figuras geométricas,1,,,,,,
49,ImageSearchBlock2,Predeterminado,1,,,,,,
50,ImageSearchBlock2,Predeterminado,1,,,,,,
51,Texto,Predeterminado,1,,,,,,Database Hosting
52,Engranajes,Azure,1,,,,,,
53,Engranajes,Azure,1,,,,,,
54,Nota entre llaves,Figuras de diagramas de flujo,1,,,,,,
55,Texto,Predeterminado,1,,,,,,DATABASE
56,IoT thing lightbulb,Arquitectura AWS,1,,,,,,IoT
57,ImageSearchBlock2,Predeterminado,1,,,,,,
58,ImageSearchBlock2,Predeterminado,1,,,,,,
59,Área de Acción,Predeterminado,1,,,,,,
60,Área de Acción,Predeterminado,1,,,,,,
61,Texto,Predeterminado,1,,,,,,MQTT Publish / Subscribe Messaging Transport
62,ImageSearchBlock2,Predeterminado,1,,,,,,
63,ImageSearchBlock2,Predeterminado,1,,,,,,
64,Texto,Predeterminado,1,,,,,,Portable HotSpot Wifi
65,Imagen de usuario,Imágenes de usuario,1,,,,,,
66,Imagen de usuario,Imágenes de usuario,1,,,,,,
67,Imagen de usuario,Imágenes de usuario,1,,,,,,
68,Imagen de usuario,Imágenes de usuario,1,,,,,,
69,Imagen de usuario,Imágenes de usuario,1,,,,,,
70,Imagen de usuario,Imágenes de usuario,1,,,,,,
71,Imagen de usuario,Imágenes de usuario,1,,,,,,
72,Nota entre llaves,Figuras de diagramas de flujo,1,,,,,,
73,Texto,Predeterminado,1,,,,,,Sensors
74,ImageSearchBlock2,Predeterminado,1,,,,,,
75,ImageSearchBlock2,Predeterminado,1,,,,,,
76,Flecha derecha,Figuras geométricas,1,,,,,,
77,Flecha derecha,Figuras geométricas,1,,,,,,
78,Texto,Predeterminado,1,,,,,,Publish
79,Texto,Predeterminado,1,,,,,,Publish
80,Texto,Predeterminado,1,,,,,,Subscribe
81,Texto,Predeterminado,1,,,,,,Subscribe
82,ImageSearchBlock2,Predeterminado,1,,,,,,
83,Flecha derecha,Figuras geométricas,1,,,,,,
84,Flecha derecha,Figuras geométricas,1,,,,,,
85,ImageSearchBlock2,Predeterminado,1,,,,,,
86,Texto,Predeterminado,1,,,,,,"Consume
RestFul API "
87,Flecha derecha,Figuras geométricas,1,,,,,,
88,Flecha derecha,Figuras geométricas,1,,,,,,
89,Flecha derecha,Figuras geométricas,1,,,,,,
90,Flecha derecha,Figuras geométricas,1,,,,,,
91,Texto,Predeterminado,1,,,,,,Hybrid Application
92,Texto,Predeterminado,1,,,,,,Web Application
93,Texto,Predeterminado,1,,,,,,The Intelligent Bike Architecture
94,Imagen de usuario,Imágenes de usuario,1,,,,,,
95,ImageSearchBlock2,Predeterminado,1,,,,,,
96,Nota entre llaves,Figuras de diagramas de flujo,1,,,,,,
97,Texto,Predeterminado,1,,,,,,TypeScript
98,ImageSearchBlock2,Predeterminado,1,,,,,,
99,Texto,Predeterminado,1,,,,,,JavaScript
100,ImageSearchBlock2,Predeterminado,1,,,,,,
101,Texto,Predeterminado,1,,,,,,HTML
102,ImageSearchBlock2,Predeterminado,1,,,,,,
103,Texto,Predeterminado,1,,,,,,CSS
104,ImageSearchBlock2,Predeterminado,1,,,,,,
105,Texto,Predeterminado,1,,,,,,Basic Shell
106,ImageSearchBlock2,Predeterminado,1,,,,,,
107,ImageSearchBlock2,Predeterminado,1,,,,,,
108,Imagen de usuario,Imágenes de usuario,1,,,,,,
109,ImageSearchBlock2,Predeterminado,1,,,,,,
110,Línea,,1,,,,None,None,
